Ingredient1,Ingredient2,Rank
egg,fried salt pork,5
egg,salt pork fried,5
egg,baker ammonia,5
egg,sweet wheat bun dough,5
egg,dark chocolate,5
egg,chopped almonds,5
egg,flaked almonds,5
egg,ground almonds,5
egg,meringue,5
cream,ground cinnamon,5
cream,oil,5
cream,shallots,5
cream,bay leaves,5
cream,apples,5
cream,vegetable stock,5
cream,bacon,5
cream,red onion,5
cream,celery,5
cream,coarse salt,5
cream,raisins,5
cream,mutton,5
cream,rolled oats,5
cream,chopped almonds,5
cream,raspberry jam,5
cream,sugar syrup,5
cream,meringue,5
cream,blueberries,5
cream,double cream,5
cream,brown cheese,5
hard cheese,garlic,5
hard cheese,rye flour,5
hard cheese,wheat flour,5
butter,buttermilk,5
butter,shallots,5
butter,sprouts,5
butter,swede,5
butter,sour cream,5
butter,fresh peas,5
butter,pike,5
butter,cod roe,5
butter,fish stock,5
butter,lamb stock,5
butter,pork back fat,5
butter,pork liver,5
butter,rolled oats,5
butter,orange,5
butter,white icing,5
butter,almond paste,5
butter,white icing,5
butter,biscuit,5
butter,flaked almonds,5
