Ing1,Ing2,Ing3,Ing4,Rank
cream,butter,beef,onion,13
vegetables,broth,onion,butter,13
flour,bread flour,rye flour,butter,13
flour,bread flour,rye flour,yeast,13
milk,sugar,ground cinnamon,cassia cinnamon,13
milk,sugar,cassia cinnamon,ground cinnamon,13
sugar,vanilla sugar,baking powder,wheat flour,13
vanilla sugar,flour,baking powder,wheat flour,13
flour,yeast,bread flour,butter,13
flour,yeast,bread flour,rye flour,13
flour,yeast,bread flour,rye dough,13
butter,milk,breadcrumbs,flour,13
sugar,ground cinnamon,cassia cinnamon,milk,13
sugar,vanilla sugar,wheat flour,baking powder,13
vanilla sugar,flour,wheat flour,baking powder,13
egg,butter,cardamom,flour,13
egg,sugar,cardamom,milk,13
cream,butter,baking powder,sugar,13
cream,sugar,baking powder,butter,13
butter,golden syrup,flour,wheat flour,13
sugar,zest,flour,butter,13
sugar,zest,flour,baking powder,13
sugar,zest,flour,wheat flour,13
sugar,vanilla sugar,lemon,zest,13
sugar,lemon,flour,butter,13
sugar,lemon,flour,baking powder,13
flour,bread flour,rye dough,yeast,13
onion,minced beef,beef,butter,13
bread flour,rye flour,rye dough,yeast,13
egg,butter,baking powder,sugar,13
butter,sugar,lemon,flour,13
butter,vegetables,broth,onion,13
egg,sugar,baking powder,butter,13
egg,sugar,baking powder,wheat flour,13
egg,flour,cardamom,butter,13
egg,baking powder,wheat flour,sugar,13
cream,onion,beef,butter,13
butter,sugar,zest,flour,13
milk,sugar,yeast,butter,13
milk,sugar,yeast,flour,13
milk,flour,pastry,wheat flour,13
sugar,zest,vanilla sugar,lemon,13
sugar,lemon,baking powder,flour,13
cinnamon stick,cassia cinnamon,cassia cinnamon stick,sugar,13
flour,wheat flour,pastry,milk,13
egg,milk,plain flour,flour,13
egg,milk,cardamom,sugar,13
butter,sugar,yeast,milk,13
butter,golden syrup,wheat flour,flour,13
butter,zest,flour,sugar,13
butter,flour,rye dough,rye flour,13
butter,onion,minced beef,beef,13
butter,yeast,bread flour,flour,13
butter,bread flour,rye flour,flour,13
butter,rye flour,rye dough,flour,13
milk,ground cinnamon,cassia cinnamon,sugar,13
milk,flour,breadcrumbs,butter,13
milk,wheat flour,pastry,flour,13
sugar,cinnamon stick,cassia cinnamon,cassia cinnamon stick,13
sugar,cinnamon stick,cassia cinnamon stick,cassia cinnamon,13
sugar,zest,baking powder,flour,13
sugar,zest,wheat flour,flour,13
sugar,flour,yeast,milk,13
sugar,cassia cinnamon,cassia cinnamon stick,cinnamon stick,13
golden syrup,flour,wheat flour,butter,13
zest,vanilla sugar,lemon,sugar,13
zest,flour,baking powder,sugar,13
zest,flour,wheat flour,sugar,13
vanilla sugar,baking powder,wheat flour,sugar,13
vanilla sugar,baking powder,wheat flour,flour,13
lemon,flour,baking powder,sugar,13
flour,yeast,rye flour,bread flour,13
flour,yeast,rye flour,rye dough,13
flour,yeast,rye dough,bread flour,13
flour,yeast,rye dough,rye flour,13
yeast,bread flour,rye flour,flour,13
yeast,bread flour,rye flour,rye dough,13
yeast,bread flour,rye dough,flour,13
yeast,bread flour,rye dough,rye flour,13
yeast,rye flour,rye dough,flour,13
yeast,rye flour,rye dough,bread flour,13
butter,milk,flour,rye flour,12
butter,sugar,flour,yeast,12
butter,flour,wheat flour,cheese,12
sugar,flour,wheat flour,lemon,12
milk,sugar,flour,zest,12
butter,milk,sugar,ground cinnamon,12
milk,flour,wheat flour,bread flour,12
milk,flour,wheat flour,cardamom,12
cream,butter,flour,onion,12
milk,sugar,wheat flour,cardamom,12
sugar,flour,baking powder,cardamom,12
cream,butter,milk,onion,12
egg,butter,milk,cardamom,12
cream,butter,sugar,egg,12
flour,baking powder,wheat flour,cream,12
cream,sugar,flour,vanilla sugar,12
sugar,baking powder,wheat flour,cream,12
cream,butter,onion,milk,12
cream,butter,onion,flour,12
egg,butter,sugar,cream,12
egg,butter,sugar,vanilla sugar,12
cream,flour,wheat flour,baking powder,12
egg,flour,wheat flour,cardamom,12
egg,cream,butter,sugar,12
egg,butter,wheat flour,cardamom,12
butter,sugar,vanilla sugar,egg,12
butter,flour,onion,cream,12
egg,sugar,wheat flour,cardamom,12
cream,sugar,wheat flour,baking powder,12
butter,flour,rye flour,milk,12
sugar,vanilla sugar,flour,cream,12
butter,broth,meat stock,cream,12
butter,broth,meat stock,beef,12
butter,flour,yeast,sugar,12
sugar,flour,cardamom,baking powder,12
butter,minced beef,beef,cream,12
butter,minced beef,beef,pork,12
egg,cream,sugar,butter,12
cream,butter,broth,meat stock,12
milk,sugar,cardamom,wheat flour,12
sugar,zest,lemon,butter,12
sugar,zest,lemon,milk,12
sugar,zest,lemon,baking powder,12
flour,bread flour,wheat flour,milk,12
flour,bread flour,wheat flour,yeast,12
flour,rye flour,rye dough,wheat flour,12
cream,sugar,vanilla sugar,flour,12
butter,flour,cheese,wheat flour,12
butter,pork,beef,minced beef,12
milk,flour,bread flour,wheat flour,12
flour,yeast,wheat flour,bread flour,12
cream,butter,beef,minced beef,12
flour,wheat flour,cardamom,egg,12
flour,wheat flour,cardamom,milk,12
butter,wheat flour,cardamom,egg,12
milk,sugar,ground cinnamon,butter,12
milk,flour,rye flour,butter,12
sugar,wheat flour,cardamom,egg,12
sugar,wheat flour,cardamom,milk,12
flour,yeast,bread flour,wheat flour,12
butter,milk,onion,cream,12
milk,flour,cardamom,wheat flour,12
minced beef,pork,beef,butter,12
egg,butter,cardamom,milk,12
egg,butter,cardamom,wheat flour,12
egg,sugar,vanilla sugar,butter,12
egg,sugar,cardamom,wheat flour,12
cream,sugar,baking powder,wheat flour,12
cream,flour,baking powder,wheat flour,12
butter,milk,cardamom,egg,12
butter,sugar,ground cinnamon,milk,12
sugar,zest,flour,milk,12
sugar,lemon,flour,wheat flour,12
butter,sugar,lemon,zest,12
flour,rye flour,wheat flour,rye dough,12
egg,flour,cardamom,wheat flour,12
butter,sugar,zest,lemon,12
butter,broth,beef,meat stock,12
milk,sugar,zest,lemon,12
milk,sugar,zest,flour,12
sugar,lemon,baking powder,zest,12
zest,lemon,flour,baking powder,12
broth,meat stock,beef,butter,12
egg,milk,cardamom,butter,12
cream,milk,onion,butter,12
cream,broth,meat stock,butter,12
cream,flour,onion,butter,12
cream,minced beef,beef,butter,12
butter,sugar,yeast,flour,12
butter,zest,lemon,sugar,12
butter,meat stock,beef,broth,12
sugar,zest,baking powder,lemon,12
sugar,flour,yeast,butter,12
sugar,baking powder,cardamom,flour,12
zest,lemon,baking powder,sugar,12
zest,lemon,baking powder,flour,12
zest,flour,baking powder,lemon,12
lemon,flour,baking powder,zest,12
egg,butter,vanilla sugar,sugar,12
egg,wheat flour,cardamom,butter,12
egg,wheat flour,cardamom,sugar,12
egg,wheat flour,cardamom,flour,12
cream,butter,meat stock,broth,12
cream,butter,minced beef,beef,12
cream,vanilla sugar,flour,sugar,12
cream,baking powder,wheat flour,sugar,12
cream,baking powder,wheat flour,flour,12
butter,milk,ground cinnamon,sugar,12
butter,milk,rye flour,flour,12
butter,milk,flour,pastry,11
butter,flour,wheat flour,zest,11
butter,flour,wheat flour,rye flour,11
butter,flour,wheat flour,pastry,11
sugar,flour,wheat flour,icing sugar,11
sugar,flour,wheat flour,pastry,11
butter,sugar,wheat flour,zest,11
butter,milk,sugar,vanilla sugar,11
butter,plain flour,flour,beef,11
cream,butter,flour,broth,11
butter,milk,wheat flour,cardamom,11
butter,flour,baking powder,cardamom,11
egg,butter,flour,lemon,11
cream,butter,milk,plain flour,11
butter,sugar,baking powder,cardamom,11
flour,baking powder,wheat flour,zest,11
flour,baking powder,wheat flour,lemon,11
egg,milk,flour,cardamom,11
sugar,baking powder,wheat flour,zest,11
sugar,baking powder,wheat flour,lemon,11
cream,butter,onion,vegetables,11
butter,baking powder,wheat flour,cream,11
butter,baking powder,wheat flour,vanilla sugar,11
cream,flour,wheat flour,egg,11
sugar,plain flour,flour,egg,11
egg,sugar,flour,vanilla sugar,11
egg,sugar,flour,plain flour,11
egg,flour,wheat flour,cream,11
butter,milk,plain flour,cream,11
egg,cream,butter,egg yolks,11
cream,butter,wheat flour,baking powder,11
milk,flour,baking powder,vanilla sugar,11
milk,sugar,baking powder,vanilla sugar,11
butter,sugar,vanilla sugar,milk,11
butter,flour,rye flour,wheat flour,11
sugar,vanilla sugar,flour,egg,11
sugar,vanilla sugar,flour,lemon,11
egg,plain flour,flour,sugar,11
butter,broth,meat stock,flour,11
sugar,vinegar,white vinegar,Attika vinegar,11
cream,butter,plain flour,milk,11
butter,onion,beef,pork,11
milk,flour,yeast,bread flour,11
cream,butter,broth,flour,11
butter,sugar,cardamom,baking powder,11
butter,lemon,flour,egg,11
butter,lemon,flour,zest,11
butter,flour,cardamom,baking powder,11
sugar,Attika vinegar,vinegar,white vinegar,11
sugar,zest,lemon,sugar juice,11
sugar,zest,lemon,wheat flour,11
flour,rye flour,rye dough,golden syrup,11
egg,cream,flour,wheat flour,11
butter,vegetables,onion,cream,11
butter,broth,flour,cream,11
butter,broth,flour,meat stock,11
butter,pork,beef,cream,11
butter,pork,beef,onion,11
milk,flour,bread flour,yeast,11
cream,butter,beef,pork,11
butter,onion,pork,beef,11
butter,yeast,wheat flour,bread flour,11
flour,bread flour,rye flour,golden syrup,11
egg,butter,egg yolks,cream,11
butter,wheat flour,cardamom,milk,11
sugar,vanilla sugar,baking powder,milk,11
sugar,vanilla sugar,baking powder,lemon,11
vanilla sugar,flour,baking powder,milk,11
vanilla sugar,flour,baking powder,lemon,11
flour,yeast,bread flour,milk,11
milk,flour,cardamom,egg,11
Attika vinegar,vinegar,white vinegar,sugar,11
egg,sugar,vanilla sugar,flour,11
cream,butter,vegetables,onion,11
cream,butter,baking powder,wheat flour,11
